timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,Hostname,IdleTime,Connect
1638217329394,162,RealizarVoto,400,,Thread Group 1-1,text,false,,524,276,24,24,http://localhost:8080/makeVote,161,STFBSBC044602-L,0,2
1638217329400,193,RealizarVoto,200,,Thread Group 1-2,text,true,,245,276,28,28,http://localhost:8080/makeVote,193,STFBSBC044602-L,0,1
1638217329406,304,RealizarVoto,400,,Thread Group 1-3,text,false,,524,276,44,44,http://localhost:8080/makeVote,304,STFBSBC044602-L,0,1
1638217329413,341,RealizarVoto,200,,Thread Group 1-4,text,true,,245,276,49,49,http://localhost:8080/makeVote,341,STFBSBC044602-L,0,0
1638217329421,458,RealizarVoto,200,,Thread Group 1-5,text,true,,245,276,66,66,http://localhost:8080/makeVote,458,STFBSBC044602-L,0,0
1638217329428,482,RealizarVoto,200,,Thread Group 1-6,text,true,,245,276,70,70,http://localhost:8080/makeVote,482,STFBSBC044602-L,0,1
1638217329434,599,RealizarVoto,200,,Thread Group 1-7,text,true,,245,276,86,86,http://localhost:8080/makeVote,599,STFBSBC044602-L,0,1
1638217329440,626,RealizarVoto,200,,Thread Group 1-8,text,true,,245,276,90,90,http://localhost:8080/makeVote,626,STFBSBC044602-L,0,0
1638217329447,728,RealizarVoto,200,,Thread Group 1-9,text,true,,245,276,104,104,http://localhost:8080/makeVote,728,STFBSBC044602-L,0,1
1638217329454,772,RealizarVoto,200,,Thread Group 1-10,text,true,,245,276,111,111,http://localhost:8080/makeVote,772,STFBSBC044602-L,0,1
1638217329462,874,RealizarVoto,200,,Thread Group 1-11,text,true,,245,276,125,125,http://localhost:8080/makeVote,874,STFBSBC044602-L,0,1
1638217329469,922,RealizarVoto,200,,Thread Group 1-12,text,true,,245,276,131,131,http://localhost:8080/makeVote,921,STFBSBC044602-L,0,1
1638217329476,1000,RealizarVoto,400,,Thread Group 1-13,text,false,,524,276,138,138,http://localhost:8080/makeVote,999,STFBSBC044602-L,0,1
1638217329482,1058,RealizarVoto,400,,Thread Group 1-14,text,false,,524,276,137,137,http://localhost:8080/makeVote,1057,STFBSBC044602-L,0,0
1638217329489,1189,RealizarVoto,200,,Thread Group 1-15,text,true,,245,276,136,136,http://localhost:8080/makeVote,1189,STFBSBC044602-L,0,0
1638217329496,1219,RealizarVoto,200,,Thread Group 1-16,text,true,,245,276,135,135,http://localhost:8080/makeVote,1219,STFBSBC044602-L,0,0
1638217329504,1288,RealizarVoto,200,,Thread Group 1-17,text,true,,245,276,134,134,http://localhost:8080/makeVote,1288,STFBSBC044602-L,0,1
1638217329511,1362,RealizarVoto,200,,Thread Group 1-18,text,true,,245,276,133,133,http://localhost:8080/makeVote,1362,STFBSBC044602-L,0,0
1638217329517,1420,RealizarVoto,400,,Thread Group 1-19,text,false,,524,276,132,132,http://localhost:8080/makeVote,1419,STFBSBC044602-L,0,0
1638217329525,1523,RealizarVoto,400,,Thread Group 1-20,text,false,,524,276,131,131,http://localhost:8080/makeVote,1523,STFBSBC044602-L,0,1
1638217329531,1557,RealizarVoto,400,,Thread Group 1-21,text,false,,524,276,130,130,http://localhost:8080/makeVote,1557,STFBSBC044602-L,0,0
1638217329539,1672,RealizarVoto,400,,Thread Group 1-22,text,false,,524,276,129,129,http://localhost:8080/makeVote,1672,STFBSBC044602-L,0,1
